,location,title,company,salary,summary,rating,JT
136,Remote,Data Science- Internship (Remote),International School of AI & Data Science,"₹15,000 a month","
Work on case studies, class materials, and projects for the data science/ML course.
Through its industry-focused programs, INSAID aims to arm working…
",NA,Data+Scientist
137,"Bengaluru, Karnataka",newDeep Learning Engineers - INTERNSHIP,Conxai Technologies GmbH,NA,"
You will support the building of prototypes on real-world data.
We are building the first NO-CODE AI PLATFORM for the construction industry, with the 3rd…
",NA,Data+Scientist
138,"Temporarily Remote in Kochi, Kerala",Data Analyst/Scientist,PBW Software Pvt. Ltd.,"₹10,00,000 - ₹12,00,000 a year","
3+ years’ experience mining data as a data analyst.
Identify trends and opportunities for growth through analysis of complex data sets.
",NA,Data+Scientist
139,"Bengaluru, Karnataka",Data Analyst (Risk Research) - Risk Analytics,GO-JEK,NA,"
We use big data with human intelligence to make the best decision.
Develop innovative analytical techniques and data science frameworks to detect abnormal…
",NA,Data+Scientist
140,"Hyderabad, Telangana",Data Scientist (Drug Product Process Development),Novartis,NA,"
Data cleaning and data wrangling.
Set up databases and data pipelines.
Use data and ML methods to solve problems.
2-5 years’ experience in academia or industry.
",4.1,Data+Scientist
141,"Mumbai, Maharashtra",Data Scientist (Analyst),Transorg Analytics,NA,"
Experience in data mining and data analysis is preferred.
Must have a passion for data, structured or unstructured.
",2.0,Data+Scientist
142,"Gurgaon, Haryana",newData Scientist Assistant Manager | India,Ubiquity,NA,"
Experience working with and creating data architectures.
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw…
",NA,Data+Scientist
143,"Bengaluru, Karnataka",Data Scientist,Cervello Inc,NA,"
Analyze, manipulate, cleanse and validate data from a variety of data sources and platforms.
Apply data mining, statistical, machine learning & visualization…
",NA,Data+Scientist
144,"Bengaluru, Karnataka",Experience Data Scientist,Microsoft,NA,"
Interest and/or strong experience in data visualization tools.
Own relationships with product teams to identify research questions, and partner with Engineering…
",4.2,Data+Scientist
145,"Bengaluru, Karnataka",Machine Learning Engineer-Data Science,Response Informatics,NA,"
Machine learning, Deep learning, Hive, SQL, Tensorflow, Keras.
",NA,Data+Scientist
146,"Chennai, Tamil Nadu",newPrincipal ML Engineer,Mr. Cooper,NA,"
5+ years of Hands-on experience in data classification – binomial, single and multiclass, regression – Linear, Logistic, Polynomial, Lasso; data sentiment…
",3.2,Data+Scientist
147,"Pune, Maharashtra",Senior Data Scientist,Icertis,NA,"
Define the variables and their inter-relationships and extract the data from our data repositories, leveraging infrastructure including Cloud computing…
",3.8,Data+Scientist
148,"Delhi, Delhi",Data Scientist,MedTourEasy,"₹8,25,000 - ₹9,15,000 a year","
Present information using data visualization techniques.
Identify valuable data sources and automate collection processes.
Analytical mind and business acumen.
",NA,Data+Scientist
149,"Bengaluru, Karnataka",Data Scientist Engineer,Adobe,NA,"
Work closely with our engineering team to integrate data SDK (Software Development Kit) and instrument operational and behavioural events with standard data…
",4.3,Data+Scientist
150,"Ahmedabad, Gujarat",newData Scientist,IronList,NA,"
Present information using data visualization techniques.
Present information using data visualization techniques.
Combine models through ensemble modeling.
",NA,Data+Scientist
151,"Chennai, Tamil Nadu","Data Scientist, AIML Model Validation",Standard Chartered,NA,"
Manage a team dedicated for reviewing models related unstructured and structured data.
The ideal candidate will have experience in the latest techniques in…
",4.1,Data+Scientist
152,"Bengaluru, Karnataka",Clinical Data Scientist,AstraZeneca,NA,"
Experience in programming, testing and/or applying data science methods in clinical development setting.
Configures systems to enable CM support of new studies …
",4.1,Data+Scientist
153,"Chennai, Tamil Nadu",Data Scientist,Aspire Systems,NA,"
Present information using data visualization techniques.
Identify valuable data sources and automate the collection processes.
",4.0,Data+Scientist
154,India,DATA SCIENTIST,Kyndryl,NA,"
Experience with presenting complex data science processes/information to non-data scientists.
Experience with Structured, Semi-structured and high dimensional…
",3.4,Data+Scientist
155,"Bengaluru, Karnataka",newLead-Applied Data Scientist,Tesco,NA,"
Adv Logical Reasoning, Excel & Statistical Concepts Adv SQL, Hive, Phython,Tableau, R shiny, Microstrategy, Basic Statistical Concepts - Central Measures of…
",3.6,Data+Scientist
156,"Chennai, Tamil Nadu+2 locations",Data Scientist/ Sr. Data Scientist- Data Science Practice,Tredence,NA,"
Strong understanding with data infrastructure, data warehouse, or data engineering.
Collaborate with the data warehousing team, ensuring that data…
",3.9,Data+Scientist
157,"Mumbai, Maharashtra",Data Scientist,UBS,NA,"
Research source data and design queries that bring data into Tableau.
Exposure to Data science Concepts and data crunching, Azure data lake.
",3.8,Data+Scientist
158,Remote,Python AI ML (Data Scientist) Developer,Fluid AI,NA,"
To drive 4 million USD of value (money earned or money saved for customers) through our current Data Science AI and ML implementations and the Fluid AI…
",NA,Data+Scientist
159,"Mumbai, Maharashtra",Data Science Engineer/Analyst,Invogue Creations,"₹3,00,000 - ₹4,00,000 a year","
Data points,basic Anaysis priovide inputs to various teams, onProduct optimization, sales and Monetization etc.
Total work: 3 years (Preferred).
",NA,Data+Scientist
160,"Mysore, Karnataka",Machine Learning Engineer,AMCI pvt ltd,"₹3,00,000 - ₹10,54,775 a year","
Handling challenges w.r.t data requirements such as ideating the best ways of sourcing data, creating new tools for data annotation, etc. to effectively solve…
",NA,Data+Scientist
161,"Mumbai, Maharashtra",Data Scientist | 6 to 9 years | Mumbai & Bengaluru,Capgemini,NA,"
Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
",3.8,Data+Scientist
162,"Chennai, Tamil Nadu+2 locations",Manager - Data Scientist,Tredence,NA,"
Have mentored and guided junior data scientists in previous roles.
Have the ability to handle structured /unstructured data like Text, Image and have prior…
",3.9,Data+Scientist
163,"Kochi, Kerala",Data Scientist (NLP)/ NLP Developer,PBW Software Pvt. Ltd.,NA,"
Study and transform data science prototypes.
Select appropriate annotated datasets for Supervised Learning methods.
Total work: 2 years (Preferred).
",NA,Data+Scientist
164,"Thiruvananthapuram, Kerala",Data Scientist,Nissan,NA,"
Experience in various statistical and machine learning models, data mining, and unstructured data analytics in corporate or academic research environments.
",3.8,Data+Scientist
165,"Hyderabad, Telangana",Data Scientist,GD Research Center,NA,"
Use best software, tools and techniques for data mining: With deep knowledge and experience in SQL, Python, R or any other data analysis tools, should be able…
",3.8,Data+Scientist
166,"Bengaluru, Karnataka",Data Scientist / Decision Scientist,Maruti Suzuki India Ltd,NA,"
 Understand the data landscape, establish the data adequacy beforehand.
Find meaningful patterns in data, detect seasonality and trend, establish cause and…
",4.1,Data+Scientist
167,"Bengaluru, Karnataka+1 location",newSpec Analytics Analyst 2,Citi,NA,"
Responsible for documenting data requirements, data collection / processing / cleaning, and exploratory data analysis; which may include utilizing statistical…
",3.9,Data+Scientist
168,India,Data Scientist - Associate,DBS Bank,NA,"
To support the data driven decision making for DBS products, processes, and business through the creation of data dashboards, infographics, models per business…
",3.9,Data+Scientist
169,"Mumbai, Maharashtra+1 location",Data Scientist,Zetta Women,"₹30,00,000 a year","
Proven ability to translate complex data sets into easy-to-understand business recommendations.
Work with stakeholders throughout the organization to identify…
",NA,Data+Scientist
170,India,Data Scientist,3SC Solutions,"₹15,00,000 - ₹20,00,000 a year","
Process and analyze sales data; gather additional data sources that would improve model accuracy.
Experience with large data sets.
",5.0,Data+Scientist
171,"Gurgaon, Haryana",USI-EH22-EA-CMG-Tech CoE- Data Scientist-A,Deloitte,NA,"
Work with fellow data scientists to help meet new data needs for advanced analytics.
Be responsible for data quality; identifying and escalating data quality…
",4.0,Data+Scientist
172,"Bardez, Goa",Data Scientist,Nordic Intent,NA,"
Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.
",NA,Data+Scientist
173,"Hyderabad, Telangana",Data Science Engineer,Gainsight,NA,"
Gainsight is building a world-class team of Engineers with a mandate to architect, design, build, scale, and maintain our cutting-edge customer intelligence…
",4.2,Data+Scientist
174,"Kochi, Kerala","newWatson Chat Bot, AI and ML Consultant",IBM,NA,"
Advanced degree in data science, statistics, computer science, or similar.
IBM provides you with the most comprehensive and consistent approach to development,…
",3.9,Data+Scientist
175,"Chennai, Tamil Nadu","newAnalyst, Data Science",Standard Chartered,NA,"
Build highly scalable products, maintain security of data and stability of the website / app.
In line with our Fair Pay Charter, we offer a competitive salary…
",4.1,Data+Scientist
176,"Mumbai, Maharashtra",Data Scientist - Assets,Deutsche Bank,NA,"
They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using…
",3.8,Data+Scientist
177,"Temporarily Remote in Hyderabad, Telangana",Data Scientist,Aufait Technologies,NA,"
Ensure alignment with data strategy and standards of data processing.
Build and maintain data pipelines to support large scale data management projects.
",3.6,Data+Scientist
178,"Pune, Maharashtra",newMachine Learning Intern,Solicitous Business Solutions Pvt. Ltd.,"₹5,000 a month","
Study and transform data science prototypes.
Select appropriate datasets and data representation methods.
Research and implement appropriate ML algorithms and…
",NA,Data+Scientist
179,"Noida, Uttar Pradesh",Data Scientist,Biz2Credit Inc,NA,"
Work on data projects and proposals involving Biz2Credit?s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)…
",3.1,Data+Scientist
