,location,title,company,salary,summary,rating,clean_location,clean_title
2820,"Gurgaon, Haryana",newBusiness Development Intern,LCX,,"
Good knowledge about different blockchain technologies and projects in the market.
Http://lcx.com/ is a secure and compliant platform for buying, selling,…
",,"Gurgaon, Haryana",Business Development Intern
2821,"Nashik, Maharashtra",Blockchain Developer,Aryaa International,"₹3,00,000 - ₹10,00,000 a year","
Experience requires : 3 to 8 years.
Must possess good logical, analytical, and communication skills.
Able to understand Cryptocurrency and or Blockchain…
",,"Nashik, Maharashtra",Blockchain Developer
2822,"Remote in Jaipur, Rajasthan",newBlockchain Developer,Appinop Technologies,"₹40,000 - ₹55,000 a month","
Understanding the private blockchain network.
We are looking for a blockchain developer who will be responsible for designing, implementing, and supporting a…
",,"Jaipur, Rajasthan",Blockchain Developer
2823,"Bengaluru, Karnataka",newProgram Director,IBM,,"
This team will enhance the cloud platform to support rapid onboarding of partner offerings and assist the partners where needed in adapting their solutions to…
",3.9,"Bengaluru, Karnataka",Program Director
2824,"Noida, Uttar Pradesh",Senior Blockchain Engineer,Sparx IT Solutions,,"
Knowledge of Binance, Cordana, EOS, TRON, Polkadot and other blockchains.
Should have good programming and logical skills.
",3.5,"Noida, Uttar Pradesh",Senior Blockchain Engineer
2825,"Remote in Bengaluru, Karnataka",Blockchain Developer,Wits Innovation Lab,"₹3,55,627 - ₹14,79,866 a year","
Knowledge of bitcoin blockchain technology.
Securing the blockchain network with new technologies.
Preparing documentation on the blockchain development…
",,"Bengaluru, Karnataka",Blockchain Developer
2826,"Remote in Indore, Madhya Pradesh",Blockchain Developer,Quest Global Technologies Ltd.,"₹12,00,000 a year","
Research, design, develop, and test blockchain technologies.
Enable secure digital transactions by creating systems to record and store blockchain data in a way…
",,"Indore, Madhya Pradesh",Blockchain Developer
2827,"Warangal, Telangana",newBlockchain Trainer,MPACT,"₹70,000 - ₹90,000 a month","Need a Blockchain trainer for 2 months training at an Engineering College at Warangal Job Type: Contractual / Temporary Salary: ₹70,000.00 - ₹90,000.00 per…",,"Warangal, Telangana",Blockchain Trainer
2828,"Bengaluru, Karnataka+1 location",newIndustry Consultant: INDUSTRY.Life Sciences,IBM,,"
As a Validation Consultant, you are responsible to Lead the envisioned solution conceptualization and design and provide functional inputs as and when required.
",3.9,"Bengaluru, Karnataka",Industry Consultant INDUSTRY.Life Sciences
2829,"Bengaluru, Karnataka",newSoftware Tester,IBM,,"
To think along with clients and sell.
We are seeking a Systems Verification Test Software Engineer to drive solution enablement for newly announced – IBM Z and…
",3.9,"Bengaluru, Karnataka",Software Tester
2830,"Remote in Chennai, Tamil Nadu",Senior Project Manager – Blockchain team,DHL,,"
In this role, you will be responsible for a technical and methodological leadership to deliver E2E solutions based on Blockchain.
",3.7,"Chennai, Tamil Nadu",Senior Project Manager – Blockchain team
2831,"Alwar, Rajasthan",Blockchain Developer,Waterneer Biokube Technologies,"₹40,000 - ₹64,000 a month","
Knowledge of C++, Golang, C#, JavaScript, Solidity, Python or Rub.
API integration with third-party backends.
Distributed systems and peer-to-peer networking.
",,"Alwar, Rajasthan",Blockchain Developer
2832,"Kailash, Delhi",newBusiness Development Manager,Zuvomo,"₹40,000 - ₹60,000 a month","
*Cultivating positive interactions and relationships with old and new clients to evaluate better results*.
*Setting goals and developing plans for business and…
",,"Kailash, Delhi",Business Development Manager
2833,"Mumbai, Maharashtra",Blockchain / Crypto / NFT Marketing Head,Iassess Consultants,"₹12,00,000 - ₹25,00,000 a year","
You will be responsible for crafting strategies for all marketing teams, including digital, advertising communications and creative, and will set, monitor and…
",,"Mumbai, Maharashtra",Blockchain  Crypto  NFT Marketing Head
2834,"Hyderabad, Telangana",newBlockchain Developer,Diatoz Solutions Private Limited,"₹3,00,000 - ₹15,00,000 a year","
Develop, test, debug, support, and enhance blockchain software as per product specifications.
As a Block chain Developer, you are responsible for taking part in…
",,"Hyderabad, Telangana",Blockchain Developer
2835,Remote,Sales Intern,MavenAI Technologies,"₹4,000 - ₹8,000 a month","
Involving in negotiations and closing sales.
Must be an MBA(marketing) graduate.
",,,Sales Intern
2836,Remote,Fraud Analyst,Transak,,"
2+ years relevant experience in a similar experience in risk domain (Fraud Investigation / KYC & KYB and Chargebacks).
",,,Fraud Analyst
2837,"Gurgaon, Haryana",newBlockchain Developer,Oodles Technologies,,"
Experience in Smart Contracts and consensus algorithms & developing blockchain applications or proof-of-concepts (POCs) using Solidity on Ethereum, TRON.
",3.8,"Gurgaon, Haryana",Blockchain Developer
2838,"Remote in Chennai, Tamil Nadu",Support Engineer - Blockchain Team,DHL,,"
Your primary responsibility will be supporting and monitoring (backed up with a high degree of automation) applications/solutions for DPDHL and customers…
",3.7,"Chennai, Tamil Nadu",Support Engineer Blockchain Team
2839,"Remote in Pune, Maharashtra+1 location",newBlockchain Developer-Solidity,Pragmatic Techsoft Pvt. Ltd,,"
*Deep understanding of blockchain logic.*.
*Contribution to Open Source blockchain projects is a major plus.*.
*Familiarity with ERC20, ERC721, and others.*.
",,"Pune, Maharashtra",Blockchain DeveloperSolidity
2840,"Chandigarh, Chandigarh",Blockchain Content Writer,Chaincode Consulting LLP,"₹4,00,000 a year","
Blockchain writing: 1 year (Preferred).
Write content for social media posts.
Knowledge of Blockchain technology.
Good command of written English.
",,"Chandigarh, Chandigarh",Blockchain Content Writer
2841,"Chandigarh, Chandigarh",Blockchain Developer,Chaincode Consulting LLP,"₹25,00,000 a year","
Keeping up with current blockchain technologies and cryptography methods.
Collaborating with managers to determine blockchain technology needs and envisaged…
",,"Chandigarh, Chandigarh",Blockchain Developer
2842,"Delhi, Delhi",Blockchain Developer,Tech Alchemy,"₹5,00,000 - ₹15,00,000 a year","
Strong knowledge of bitcoin and ethereum like blockchains.
Keep up to date with latest developments in blockchain technology.
Total work: 1 year (Preferred).
",,"Delhi, Delhi",Blockchain Developer
2843,"Bengaluru, Karnataka",Blockchain Developer,Unremot,"₹6,00,000 - ₹20,00,000 a year","
Design and build solutions using blockchain.
Design and develop core blockchain projects.
Analyse clients existing or fresh blockchain projects.
",,"Bengaluru, Karnataka",Blockchain Developer
2844,"Temporarily Remote in Delhi, Delhi",Full Stack Blockchain Developer,QuillHash Technologies Pvt Ltd,"₹8,00,000 - ₹10,00,000 a year","
\* Development of Ethereum-based blockchain applications.
\* Deep understanding of NFTs and blockchain technologies.
\* 1+ years of relevant work experience.
",,"Delhi, Delhi",Full Stack Blockchain Developer
2845,"Temporarily Remote in New Delhi, Delhi",Business Development,OroPocket,"₹50,000 - ₹70,000 a month","
Good understanding of the blockchain ecosystem.
Contact potential or existing customers to showcase our product offerings.
",,"New Delhi, Delhi",Business Development
2846,"Gurgaon, Haryana",Associate Blockchain Developer,LCX,"₹5,00,000 - ₹8,00,000 a year","
In 2020 LCX gained regulatory approval for 8 blockchain-related registrations by the Financial Market Authority.
Strong proficiency in Node JS.
",,"Gurgaon, Haryana",Associate Blockchain Developer
2847,"Chennai, Tamil Nadu",Blockchain Developer,Unikaa Solutions,"₹30,000 - ₹50,000 a month","
Analyze clients existing or fresh blockchain projects.
Experience in blockchain 3rd party integration like Blockcypher, Etherscan, Coinpayment, etc.
",,"Chennai, Tamil Nadu",Blockchain Developer
2848,"Whitefield, Bengaluru, Karnataka",Blockchain Developer,SimplyFI Softech,,"Exp: 1-2 Yrs Vacancy: 1 Qualification: B.Tech (CS,ECE), MCA Skills: Hyperledger Fabric, NodeJs, GoLang, Docker, Git How To Apply To apply, please mail…",,"Whitefield, Bengaluru, Karnataka",Blockchain Developer
2849,"Pune, Maharashtra",Blockchain Developer,crimson media,"₹6,00,000 - ₹12,00,000 a year","
Deep understanding of blockchain logic.
Contribution to Open Source blockchain projects is a major plus.
Designing custom build blockchain technology (Services,…
",,"Pune, Maharashtra",Blockchain Developer
2850,"Noida, Uttar Pradesh",newBlockchain Developer,Hack2skill,"₹4,00,000 - ₹8,00,000 a year","
You will be analyzing our blockchain needs, designing customized blockchain technologies, and launching and maintaining our blockchain network.
",,"Noida, Uttar Pradesh",Blockchain Developer
2851,"Remote in Pune, Maharashtra",Blockchain Developer,Nexonweb Solution Pvt Ltd,"₹12,00,000 a year","
Research, design, develop, and test blockchain technologies.
Be involved in the global blockchain community work on implementing and integrating the latest…
",,"Pune, Maharashtra",Blockchain Developer
2852,"Noida, Uttar Pradesh",newBlockchain Developers - Internship,Sarahna Industries Pvt. Ltd.,"₹8,000 - ₹10,000 a month","
To Develop an Indigenous Blockchain Platform using Patented Algorithms.
To Create a Tokenization Framework within the Blockchain Platform.
",,"Noida, Uttar Pradesh",Blockchain Developers Internship
2853,"Remote in Pune, Maharashtra",newUnity Developer (Intern),Tech i-Vin Technologies,,"
We are looking to hire a full-time *#intern* *#Unity 3D* developer to work on mostly 2D/3D Game development & feature enhancement projects.
",,"Pune, Maharashtra",Unity Developer Intern
2854,"Bengaluru, Karnataka",newCorporate Development,CoinDCX,,"
Engineering experience, preferably within the blockchain ecosystem.
Strong interpersonal skills and ability to create strong relationships with entrepreneurs,…
",5.0,"Bengaluru, Karnataka",Corporate Development
2855,"New Delhi, Delhi",Head of User Acquisition,Binance,,"
Work with relevant government agencies to understand crypto regulation and support policies, efforts in driving crypto/ blockchain adoption.
",,"New Delhi, Delhi",Head User Acquisition
2856,"Remote in New Delhi, Delhi",Content Writer,Ukti,"₹25,000 a month","
We work in close association with marketers, offering them the expertise of trained content creators that combine a marketing approach with in-depth research.
",,"New Delhi, Delhi",Content Writer
2857,"Indore, Madhya Pradesh",newSoftware Developer,Codes For Tomorrow,"₹10,000 - ₹35,000 a month","
Sound Knowledge of C, C++, Data structure.
Blockchain basics are an additional advantage.
Strong knowledge of basic programming & algorithms.
",,"Indore, Madhya Pradesh",Software Developer
2858,"Lucknow, Uttar Pradesh",Blockchain Developer,Websultanate Software Technologies,"₹4,80,000 - ₹7,00,000 a year","
Your primary responsibility will be analyzing requirements, designing Blockchain technology around a certain business model, and the building and launching of a…
",,"Lucknow, Uttar Pradesh",Blockchain Developer
2859,"Mumbai, Maharashtra",Freelance Content writer (Finance),Defacto Technologies Pvt Ltd,"₹15,000 - ₹25,000 a month","
Worked with blockchain/crypto content previously- bonus points.
Participate in the creation and operation of a long-term content marketing plan that spans many…
",,"Mumbai, Maharashtra",Freelance Content writer Finance
2860,Remote,Blockchain Developer,Genesis Block,,"
*Understanding and passion for blockchain technology and crypto assets *.
*Experience with blockchain and crypto (Bitcoin, Ethereum, DeFi etc.*.
",,,Blockchain Developer
2861,"Ahmedabad, Gujarat",Blockchain Developer,Convasys Technologies Private Limited,"₹40,000 - ₹80,000 a month","
Deep understanding of blockchain fundamentals (smart contracts, web3, DAOs).
Technical knowledge of various blockchain protocols, consensus mechanisms, and…
",,"Ahmedabad, Gujarat",Blockchain Developer
2862,"Bengaluru, Karnataka",newEndpoint Security,IBM,,"
Your clients' success depends on your ability to understand their needs and respond to requests for new services.
Required Technical and Professional Expertise.
",3.9,"Bengaluru, Karnataka",Endpoint Security
2863,"Gurgaon, Haryana",Blockchain Developer,Zorang Technologies,,"
Blockchain Development: 2 years (Preferred).
Development experience on blockchain platforms in IT domain.
Be involved in the global blockchain community work on…
",,"Gurgaon, Haryana",Blockchain Developer
2864,"Remote in Bengaluru, Karnataka",Blockchain Developer,WebMob Software Solutions,"₹5,00,000 - ₹18,00,000 a year","
Our specialties include Fintech product development, Blockchain development and consultancy, website development, graphic designing, digital marketing,…
",,"Bengaluru, Karnataka",Blockchain Developer
2865,"Mohali, Punjab",newHiring for Software Developers (FRESHER & INTERN),Brisk Logic Pvt. Ltd.,,"
4-6 months stipend based training cum placement.
Job Types: Full-time, Regular / Permanent.
Mohali, Punjab: Reliably commute or planning to relocate before…
",4.5,"Mohali, Punjab",Hiring Software Developers FRESHER & INTERN
2866,"Bengaluru, Karnataka",Node js Developer with Blockchain Knowledge,Sodio Technologies Pvt Ltd,"₹6,00,000 - ₹10,00,000 a year","
Developing and maintaining all server-side network components.
Ensuring optimal performance of the central database and responsiveness to front-end requests.
",,"Bengaluru, Karnataka",Node js Developer Blockchain Knowledge
2867,"Gurgaon, Haryana",Blockchain Developer,Clavax Technologies,,"
Knowledge of cryptography and blockchain protocols.
We are looking for a blockchain developer who will be responsible for designing, implementing, and…
",3.8,"Gurgaon, Haryana",Blockchain Developer
2868,"New Delhi, Delhi",Customer Service Representative,Binance,,"
Knowledge of blockchain, crypto, and P2P payments is a big plus.
As the frontlines of the P2P market, you and the team will arbitrate customer disputes…
",,"New Delhi, Delhi",Customer Service Representative
2869,"Gurgaon, Haryana",Business Development Manager for IT Services,BigDashboard.One,"₹40,000 - ₹1,00,000 a month","
Should have experience in lead generation, client interaction, account management, new client acquisition for IT services company.
",,"Gurgaon, Haryana",Business Development Manager IT Services
2870,"Gurgaon, Haryana",Blockchain Developer,ISHTAR TRADERS & CONSULTANTS LLP,"₹7,00,000 a year","
Exp : 5 Yr in Software Development and 2 to 3 yr as blockchain developer*.
An ideal candidate should have a strong and proven full stack developer background…
",,"Gurgaon, Haryana",Blockchain Developer
2871,"Temporarily Remote in Gurgaon, Haryana",Blockchain Project Manager,QuillHash Technologies Pvt Ltd,"₹20,000 a month","
You must fully comprehend the project’s objectives.
Coordinate internal resources for the flawless execution of projects.
Willing to work in a start-up.
",,"Gurgaon, Haryana",Blockchain Project Manager
2872,"Remote in Bengaluru, Karnataka",newBlockchain Lead,Nu10,,"
At least 2 years’ experience in building blockchain solutions.
Nu10 is a Web 3 first tech development and solutions company solving complex business problems…
",,"Bengaluru, Karnataka",Blockchain Lead
2873,"Gurgaon, Haryana",Blockchain Developer - LCX Exchange,LCX,"₹12,00,000 - ₹20,00,000 a year","
Deep understanding of blockchain technology.
Http://lcx.com/ is a secure and compliant platform for buying, selling, transferring, and storing digital currency.
",,"Gurgaon, Haryana",Blockchain Developer LCX Exchange
2874,"Pune, Maharashtra",Blockchain Developer-Immediate Joinee,Pragmatic Techsoft Pvt. Ltd,"₹40,000 - ₹70,000 a month","
Deep understanding of blockchain logic.
Contribution to Open Source blockchain projects is a major plus.
Designing custom build blockchain technology (Services,…
",,"Pune, Maharashtra",Blockchain DeveloperImmediate Joinee
2875,"Remote in Noida, Uttar Pradesh",Blockchain Developer,ClassHose India Pvt. Ltd.,"₹3,60,000 - ₹7,00,000 a year","
Ethereum development frameworks such as Truffle, Hardhat, and Ganache local blockchain.
DEX (digital asset decentralized exchange) platform.
",,"Noida, Uttar Pradesh",Blockchain Developer
2876,"Bengaluru, Karnataka",newResearch - Research Analyst / Senior Research Analyst,Information Services Group,,"
The ISG Research Analyst / Senior Research Analyst will work on Data Products conducted for IT Service Providers and Enterprise Clients.
",3.5,"Bengaluru, Karnataka",Research Research Analyst  Senior Research Analyst
2877,"Remote in Noida, Uttar Pradesh",newTechnical Recruiter,Lapits Technologies,,"
We are team of 30 -50 blockchain developers based out of Noida, India.
Our primary services include consultation, design & development smart contracts for…
",,"Noida, Uttar Pradesh",Technical Recruiter
2878,"Remote in Chennai, Tamil Nadu",Node.js Engineer - Blockchain Team,DHL,,"
Familiarity with blockchain frameworks, knowledge of smart contract developments.
Research, design, develop, and test applications interacting with a blockchain…
",3.7,"Chennai, Tamil Nadu",Node.js Engineer Blockchain Team
2879,"Chennai, Tamil Nadu+4 locations",Application Architect,Wipro Limited,,"
Transforming all applications into digital form and implementand evolve around mesh app and service architecture that support newtechnologies like IOT,…
",3.8,"Chennai, Tamil Nadu",Application Architect
2880,"Remote in Bengaluru, Karnataka",Product Operations Manager,Binance,,"
You will play a vital role in all aspects of the business, from creating the best possible exchange through best in-field operations, to launching new product…
",,"Bengaluru, Karnataka",Product Operations Manager
2881,"Mumbai, Maharashtra",Investment Analyst/Associate,CoinDCX,,"
Engineering experience, preferably within the blockchain ecosystem.
Research: Research evolving trends in the global blockchain landscape, and develop theses on…
",5.0,"Mumbai, Maharashtra",Investment AnalystAssociate
2882,"Bengaluru, Karnataka",newPackage Consultant: SAP SCM PLM,IBM,,"
Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using…
",3.9,"Bengaluru, Karnataka",Package Consultant SAP SCM PLM
2883,"Remote in Pune, Maharashtra+2 locations","newDirector, MDM - Opportunity for Working Remotely Pune,",VMware,,"
Reports to: Senior Director, Global Head of Enterprise Data Management.
Based in: India Open (Flexibility to travel once a quarter).
",4.1,"Pune, Maharashtra",Director MDM Opportunity Working Remotely Pune
2884,"Jaipur, Rajasthan",Crypto Project Manager,RS Growth,"₹15,000 - ₹40,000 a month","
We are looking for a professional Crypto Project Manager to coordinate and oversee our organisation’s operations.
Create workflow process and management flows.
",,"Jaipur, Rajasthan",Crypto Project Manager
2885,"Noida, Uttar Pradesh",newQA Test Engineer,Lapits Technologies,,"
We are team of 30 -50 blockchain developers based out of Noida, India.
We are looking for a results-driven QA Test Engineer to be responsible for designing and…
",,"Noida, Uttar Pradesh",QA Test Engineer
2886,"Remote in Sahibzada Ajit Singh Nagar, Punjab",Blockchain Developer,Webmob Software Solutions Pvt Ltd,"₹5,00,000 - ₹18,00,000 a year","
Experience*: 6 months - 3 yrs.
Our specialties include Fintech product development, Blockchain development and consultancy, website development, graphic…
",,"Sahibzada Ajit Singh Nagar, Punjab",Blockchain Developer
2887,Remote,Blockchain Lead,Polygon,,"
Must have experience in Geth (Go Ethereum) or equivalent blockchain nodes, p2p, and Golang.
Responsible for blockchain nodes development, security/audit,…
",,,Blockchain Lead
2888,India,Blockchain Online Trainer,Prognoz,,"
1+ year experience in training in Blockchain technology.
Must have at least 70 hours experience in online training on Blockchain.
",,,Blockchain Online Trainer
2889,"Mumbai, Maharashtra",Blockchain Developer,Avalor,,"
Experience in deployment of ERC-20,ERC-721,ERC-1155.
Have abstract knowledge about truffle, hardhat, chainlink, graph protocol, ganache.
",,"Mumbai, Maharashtra",Blockchain Developer
2890,"Chennai, Tamil Nadu",newTransformation Lead,IBM,,"
To think along with clients and sell.
As Transformation Lead, you are responsible for handling finance clients in different industries and across Finance and…
",3.9,"Chennai, Tamil Nadu",Transformation Lead
2891,"Kochi, Kerala",newSr. Content Design Manager,IBM,,"
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",3.9,"Kochi, Kerala",Sr. Content Design Manager
2892,"Kochi, Kerala+4 locations",newSoftware Developer,IBM,,"
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",3.9,"Kochi, Kerala",Software Developer
2893,Remote,Blockchain Developer - Integration & Support,Polygon,,"
Experience with blockchain and solidity programming is a must.
Familiarity with ERC20, ERC 721 and other blockchain concepts.
Competitive Salary + Token bonus.
",,,Blockchain Developer Integration & Support
2894,"Bengaluru, Karnataka",Content Strategist Intern - Technology,upGrad Campus,"₹15,000 - ₹20,000 a month","
Work hours: 9 hours per day for 5 days a week.
Role Level: Intern with conversion to an on-roll employee (based on performance).
Total work: 1 year (Preferred).
",,"Bengaluru, Karnataka",Content Strategist Intern Technology
2895,"Madurai, Tamil Nadu",newBlockchain Developers,Fire Bee Techno Services,,"
Be involved in the global blockchain community work on implementing and integrating the latest practices.
Strong fundamentals in data structures and algorithms,…
",,"Madurai, Tamil Nadu",Blockchain Developers
2896,"Bavdhan, Pune, Maharashtra",Blockchain Developer,Perscitus Solutions,"₹7,00,000 - ₹8,00,000 a year","
2-4 years of blockchain application development experience.
Hands-on technical exposure to blockchain technologies such as Ethereum, Hyperledger, Ripple.
",,"Bavdhan, Pune, Maharashtra",Blockchain Developer
2897,"Bengaluru, Karnataka",ReactJS Developer,Synergy Labs,"₹5,00,000 - ₹15,00,000 a year","
The Artificial Intelligence, Computer Vision, Machine Learning and Deep Learning Systems that we implement are proactively aligned with the latest industry…
",,"Bengaluru, Karnataka",ReactJS Developer
2898,"Bengaluru, Karnataka",Director – Blockchain Specialist,Fidelity Investments,,"
Evaluating new blockchain and distributed ledger implementations.
Developing a blockchain solution for that business model.
Experience in setting up DAO.
",4.0,"Bengaluru, Karnataka",Director – Blockchain Specialist
2899,"New Delhi, Delhi+7 locations","SPECIALIST, CONTENT MARKETING",CoinFantasy,"₹4,00,000 - ₹8,00,000 a year","
*Grow and engage a heterogeneous and multicultural community of blockchain enthusiasts*.
CoinFantasy is looking for a passionate writer who will be a key…
",,"New Delhi, Delhi",SPECIALIST CONTENT MARKETING
2900,"Noida, Uttar Pradesh",Blockchain Developer,Himotech Global PVT. LTD,"₹12,338 - ₹57,431 a month","
Be Ready To Get A Deep Dive Into New Technology As Per Business Usecases.
Research, Design, Develop, Integrate And Test Emerging Blockchain Technologies.
",,"Noida, Uttar Pradesh",Blockchain Developer
2901,"Bengaluru, Karnataka",Director – Blockchain and AI Incubator,Fidelity Investments,,"
As the innovation engine for Fidelity Investments, we provide expertise to the rest of the firm on new tools and techniques, while also incubating potential new…
",4.0,"Bengaluru, Karnataka",Director – Blockchain AI Incubator
2902,"Allahabad, Uttar Pradesh",newNodejs Backend Developer,Nadcab Technology,"₹40,000 - ₹50,000 a month","
We are looking for a Node.js Developer responsible for managing the interchange of data between the server and the users.
Integration of data storage solutions.
",4.8,"Allahabad, Uttar Pradesh",Nodejs Backend Developer
2903,"Remote in Coimbatore, Tamil Nadu",Project Manager /Project Coordinator,SourceTrace Systems India Pvt Ltd,"₹40,000 a month","
Tracking and communicating *project* risks and opportunities.
Assist in documenting project phases and creating summary reports.
",,"Coimbatore, Tamil Nadu",Project Manager Project Coordinator
2904,"Pune, Maharashtra",Blockchain Developers,Tokyotechie,,"
Hands-on technical exposure in implementing Blockchain technologies such as Ethereum and Hyperledger.
Familiarity with Hyperledger Fabric and Solidity would be…
",,"Pune, Maharashtra",Blockchain Developers
2905,"Kanpur, Uttar Pradesh",FULL STACK DEVELOPER,CRUBN,,"
You will ensure that these components and the overall application are robust and easy to maintain.
Therefore, a commitment to collaborative problem solving,…
",,"Kanpur, Uttar Pradesh",FULL STACK DEVELOPER
2906,Remote,newAndroid Developer,Eve World Platform,"₹1,30,000 - ₹2,50,000 a month","
WHO ARE WE LOOKING FOR?*.
Android developers who are strong and confident developing and maintaining API & back-end integrations, memory management, data…
",,,Android Developer
2907,"Bengaluru, Karnataka",newIndustry Consultant: Industry.Chemicals & Petroleum,IBM,,"
As a consultant you will advise clients regarding products & solutions for solving problems in the Chemical & Petroleum Industry.
",3.9,"Bengaluru, Karnataka",Industry Consultant Industry.Chemicals & Petroleum
2908,"Bengaluru, Karnataka","Director – SMS Field Sales Opportunity to Quote Bangalore, K...",VMware,,"
Remuneration: Fixed + Bonus Plan.
Reports to: Senior Director - WW Sales Management Support.
VMware is looking for a talented leader who will fill a highly…
",4.1,"Bengaluru, Karnataka",Director – SMS Field Sales Opportunity Quote Bangalore K
2909,Remote,Engineering Manager,Polygon,,"
Must have experience in blockchain space.
You will work with VP - Engineering and the technical team.
Design and lead back-end engineering and all the technical…
",,,Engineering Manager
2910,"New Delhi, Delhi",Content Marketing Specialist,Binance,,"
This position will identify and execute opportunities to improve Binance’s visiblity through outreach and engagement with current and future partners.
",,"New Delhi, Delhi",Content Marketing Specialist
2911,India,Economics Analyst,Policy 4.0,,"
Curious about cryptocurrency, blockchain, and RBI guidelines.
Conduct research, analyze policy and offer expert testimony.
",,,Economics Analyst
2912,"Noida, Uttar Pradesh",newTelecom Networking,IBM,,"
To think along with clients and sell.
As Professionals – In Telecommunication, you are responsible for Design/circuit systems, Internet Provider and ASR (Access…
",3.9,"Noida, Uttar Pradesh",Telecom Networking
2913,Remote in India,Sales Manager / Telesales - Crypto / Blockchain / Fin Tech,LATOKEN,,"
We offer a generous stock options package, competitive pay, and stellar growth with the dawn of the web3 era.
Sourcing : Hunt and list top promising projects to…
",,,Sales Manager  Telesales Crypto  Blockchain  Fin Tech
2914,"Bengaluru, Karnataka",Innovation Business Manager,Bosch Group,,"
Consumer Goods and Building Technology.
As part of a horizontal market team, support Innovation initiatives at BGSW (Bosch Global Software Technologies,…
",4.1,"Bengaluru, Karnataka",Innovation Business Manager
2915,Remote,newGlobal Contact Center - Workforce Analyst (US Shift),"Xceedance, Inc.",,"
Major responsibilities of this position include accurately projecting FTE requirements for near-term, long-term, and overall budgeting purposes; additional key…
",,,Global Contact Center Workforce Analyst US Shift
2916,"Remote in Delhi, Delhi",Inside Sales Executive,Srijan Technologies PVT LTD,,"
Total-experience: 1-5 years.
In recent years Srijan has diversified into i) Data Engineering using NodeJS and Python, ii) Data Science - Analytics and Machine…
",3.9,"Delhi, Delhi",Inside Sales Executive
2917,"Pune, Maharashtra",Office Business Administration (OBA),Siemens Limited,,"
Office Business Administration (OBA) for Pune Office.
Channel management and customer management from commercial perspective.
Team handling skill is preferred.
",4.0,"Pune, Maharashtra",Office Business Administration OBA
2918,"Kochi, Kerala+2 locations",newBackend Developer,IBM,,"
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",3.9,"Kochi, Kerala",Backend Developer
2919,"Bellandur, Bengaluru, Karnataka",Public Relations Officer,MadLipz,"₹12,00,000 - ₹15,00,000 a year","
BitSport is hiring a Public Relations (PR) Officer to plan, manage, and organize activities for the Grand Prix Badminton League.
",,"Bellandur, Bengaluru, Karnataka",Public Relations Officer
2920,"Bengaluru, Karnataka",newSIEM,IBM,,"
Your clients' success depends on your ability to understand their needs and respond to requests for new services.
Required Technical and Professional Expertise.
",3.9,"Bengaluru, Karnataka",SIEM
2921,"Thiruvananthapuram, Kerala",Software Engineer - QA,Kennedys,,"
The Kennedys IT team are responsible for the development of enterprise scale applications like Case Management and Intelligence systems.
",,"Thiruvananthapuram, Kerala",Software Engineer QA
2922,"Mohali, Punjab",Blockchain Developer,Itsmiths,"₹12,827 - ₹49,697 a month","
Keeping up with current blockchain technologies and cryptography methods.
Collaborating with managers to determine blockchain technology needs and envisaged…
",,"Mohali, Punjab",Blockchain Developer
2923,"New Delhi, Delhi",newDigital Business-Strategy Consultant,IBM,,"
As a Strategy Consultant at IBM, you will help reinvent businesses and industries by developing and utilizing specialized knowledge of industry-specific and…
",3.9,"New Delhi, Delhi",Digital BusinessStrategy Consultant
2924,"Kochi, Kerala+1 location",newAnalyst-GDC,KPMG,,"
• Conduct external audit in accordance with the PCAOB (Public Company Accounting Oversight Board) Auditing Standards.
Critical thinking and analytical ability.
",3.9,"Kochi, Kerala",AnalystGDC
2925,"Kota, Rajasthan",Blockchain Developer,Kriscent,,"
You will be analyzing our blockchain needs, designing customized blockchain technologies, and launching and maintaining our blockchain network.
",,"Kota, Rajasthan",Blockchain Developer
2926,"New Delhi, Delhi",newReporting/Visualization Developer -Cognos,IBM,,"
Basic knowledge of DW concepts, Cognos tool lifecycle.
Must have experience of complete development lifecycle including support of user acceptance.
",3.9,"New Delhi, Delhi",ReportingVisualization Developer Cognos
2927,"Delhi, Delhi",Blockchain Developer,Mobiloitte Technologies,,"
Hyperledger Fabric projects implementation experience is mandatory.
Must have strong experience in writing chain code using Go Lang.
",2.6,"Delhi, Delhi",Blockchain Developer
2928,"Tirumangalam, Tamil Nadu",PHP Web Developer,Notasco Technologies India pvt Ltd,"₹9,500 - ₹35,000 a month","
Job Types: Full-time, Regular / Permanent.
",,"Tirumangalam, Tamil Nadu",PHP Web Developer
2929,"Pune, Maharashtra",newCompany Secretary & Compliance Officer,Alphalogic Techsys Limited,,"
Handling all company secretarial compliances under the Companies Act, 2013.
Handling all company secretarial compliances as per SEBI ICDR, LODR, SAST…
",,"Pune, Maharashtra",Company Secretary & Compliance Officer
2930,Remote,Delivery Manager,netObjex,,"
The Delivery Manager will be responsible for driving the timely delivery of our products by working with cross-functional teams including Product Owners,…
",,,Delivery Manager
